Date,AAPL,AMZN,GOOGL
2017-04-25,144.529999,907.6199949999999,888.840027
2017-04-24,143.639999,907.409973,878.929993
2017-04-21,142.270004,898.5300289999999,858.9500119999999
2017-04-20,142.440002,902.0599980000001,860.080017
2017-04-19,140.679993,899.2000119999999,856.51001
2017-04-18,141.199997,903.7800289999999,853.98999
2017-04-17,141.830002,901.98999,855.1300050000001
2017-04-13,141.050003,884.669983,840.179993
2017-04-12,141.800003,896.2299800000001,841.4600220000001
2017-04-11,141.630005,902.3599849999999,839.8800050000001
2017-04-10,143.169998,907.0399779999999,841.7000119999999
2017-04-07,143.33999599999999,894.8800050000001,842.099976
2017-04-06,143.66000400000001,898.2800289999999,845.099976
2017-04-05,144.020004,909.2800289999999,848.909973
2017-04-04,144.770004,906.830017,852.570007
2017-04-03,143.699997,891.51001,856.75
